track_genre,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness
acoustic,0.5496,0.4354,0.424,0.5668,0.0383,0.0432,0.1532
afrobeat,0.6694,0.7029,0.6985,0.2709,0.2529,0.0866,0.1847
alt-rock,0.5346,0.754,0.5182,0.1222,0.0542,0.0551,0.2103
alternative,0.56,0.7198,0.4952,0.148,0.0375,0.0701,0.2014
ambient,0.368,0.2373,0.1673,0.7767,0.676,0.0416,0.1293
anime,0.5375,0.6738,0.4346,0.268,0.2632,0.0873,0.1973
black-metal,0.2967,0.8747,0.1921,0.0271,0.442,0.0872,0.2411
bluegrass,0.5348,0.5303,0.6349,0.5567,0.1371,0.0387,0.2265
blues,0.5685,0.582,0.6034,0.3976,0.0341,0.0639,0.1918
brazil,0.5632,0.6208,0.4697,0.3322,0.0131,0.0959,0.2978
breakbeat,0.6461,0.8535,0.4751,0.0314,0.3954,0.0857,0.2204
british,0.5013,0.5071,0.4397,0.4279,0.1937,0.05,0.1743
cantopop,0.5479,0.4618,0.3934,0.536,0.0126,0.0391,0.192
chicago-house,0.7662,0.733,0.5867,0.0353,0.4837,0.0742,0.1375
children,0.7165,0.4945,0.6938,0.4984,0.0607,0.0925,0.1816
chill,0.6642,0.4264,0.4035,0.5346,0.1782,0.1022,0.1683
classical,0.382,0.1952,0.3785,0.9165,0.6081,0.0513,0.1663
club,0.6037,0.7226,0.3685,0.1595,0.3492,0.0945,0.1996
comedy,0.5774,0.6999,0.455,0.7264,0.0005,0.7557,0.6622
country,0.5553,0.5968,0.5215,0.3212,0.0056,0.0423,0.1772
dance,0.6877,0.7098,0.5521,0.1312,0.0086,0.0878,0.1681
dancehall,0.7341,0.6853,0.6291,0.2155,0.0071,0.187,0.1568
death-metal,0.3683,0.9315,0.2477,0.0067,0.276,0.1113,0.2434
deep-house,0.7105,0.7418,0.4475,0.1013,0.2372,0.0599,0.1709
detroit-techno,0.7225,0.7103,0.4688,0.0657,0.6991,0.0727,0.1547
disco,0.6767,0.7376,0.6708,0.1662,0.081,0.0593,0.1953
disney,0.463,0.3027,0.3688,0.7427,0.383,0.0749,0.1686
drum-and-bass,0.5357,0.8764,0.3218,0.026,0.3724,0.0917,0.2204
dub,0.5755,0.7148,0.3869,0.1225,0.0886,0.0971,0.1893
dubstep,0.518,0.7588,0.2718,0.1138,0.0923,0.0904,0.1997
edm,0.6484,0.7563,0.4647,0.1147,0.0403,0.0704,0.1923
electro,0.6515,0.6649,0.4668,0.2277,0.0378,0.0793,0.1847
electronic,0.6529,0.6948,0.3918,0.177,0.2487,0.0818,0.1908
emo,0.5993,0.67,0.4411,0.1951,0.0303,0.109,0.1837
folk,0.5586,0.5456,0.4904,0.4757,0.0377,0.0587,0.1762
forro,0.6499,0.7895,0.7605,0.3974,0.0013,0.0572,0.2953
french,0.6515,0.5949,0.4297,0.3498,0.159,0.1267,0.1745
funk,0.6782,0.633,0.5997,0.2997,0.0078,0.1516,0.1806
garage,0.4843,0.7444,0.518,0.1675,0.1899,0.0659,0.2127
