artists,track_name,popularity,profile,pca_1,pca_2
Feid,Feliz Cumpleaños Ferxxo,0,Bailable y positivo,1.2255,0.7934
Papa Dance,Kamikadze wróć!,30,Bailable y positivo,1.9763,1.2063
Steely Dan,Do It Again,0,Bailable y positivo,1.2285,1.6466
Renato Teixeira,Romaria - Remasterizado,47,Acústico y calmado,-1.2496,0.9318
Esteban Morgado,Oblivion,16,Acústico y calmado,-1.3298,0.1643
George Jones,What Am I Worth,12,Bailable y positivo,0.728,1.4575
Alberto Gambino,Purpurina,59,Bailable y positivo,1.9905,1.6478
Starsailor,Four to the Floor,2,Bailable y positivo,1.0725,0.2983
KAROL G,A Ella,0,Bailable y positivo,1.2345,0.5594
Claude-Michel Schönberg;Claire Moore,Her Or Me,20,Acústico y calmado,-2.8996,0.1114
Cachureos,La Mosca,38,Bailable y positivo,2.4237,0.1377
Enrique Guzman,Magia Blanca,31,Directo y hablado,1.4846,-0.2609
Christopher Zondaflex Tyler,Left and Right,9,Bailable y positivo,1.5695,1.6765
Eddy Tyler,River Flows In You,36,Acústico y calmado,-2.7085,0.4222
Curtis Mayfield,The Makings of You,0,Acústico y calmado,-1.2096,0.8119
Clannad,The Fairy Queen - Remastered 2003,22,Acústico y calmado,-3.3184,0.9691
Thiaguinho,Retalhos De Cetim - Ao Vivo,48,Directo y hablado,0.4949,-0.9893
WANIMA,Hey Lady,37,Intenso y oscuro,1.1538,-1.2987
King 810,Me & Maxine,25,Intenso y oscuro,-0.8981,-1.2809
George Jones,Wrapped Around Her Finger,19,Acústico y calmado,-1.4318,1.7663
HarrySong;Rudeboy,Konna,53,Bailable y positivo,2.1119,0.8035
New Model Army,51st State - 2005 Remaster,21,Bailable y positivo,0.8906,0.2089
Chess In Concert,1956 - Budapest Is Rising,21,Directo y hablado,-1.4684,0.1451
The Bangles,Eternal Flame,68,Acústico y calmado,-1.0319,0.8954
Lights,Happy Xmas (War Is Over),0,Acústico y calmado,-1.6458,-0.5506
Lars Winnerbäck,Visst har vi glömt,36,Bailable y positivo,-0.0073,0.3736
Chi Ching Ching,Rice & Peas,20,Bailable y positivo,1.8469,0.5086
Ilkae,Sink Lateral,12,Acústico y calmado,-1.3125,1.9042
Gioachino Rossini;Giulio Prandi;Coro Ghislieri;Francesco Corti;Cristiano Gaudio;Deniel Perer,Petite messe solennelle: I. Kyrie. Kyrie eleison,20,Acústico y calmado,-4.3459,0.0014
Anuradha Paudwal;Kumar Sanu,"Tu Meri Zindagi Hai (From ""Aashiqui"")",47,Acústico y calmado,-0.6679,0.7238
Gerson Rufino,Eu Só Quero Adorar,39,Intenso y oscuro,-0.0375,0.233
P.O.D.,Alive - Chris Lord-Alge Mix,0,Intenso y oscuro,1.1703,-1.1735
Kamuran Akkor,Mavi Boncuk,34,Bailable y positivo,-0.138,1.7656
Andrea Bocelli,Come un fiume tu,21,Acústico y calmado,-2.305,-0.9031
Andy Bar,Wir sind wieder da - L'amour Toujours,25,Bailable y positivo,2.2424,0.6101
Weston Estate,Daisies,55,Acústico y calmado,-0.6082,0.8621
Rufus Wainwright,Gay Messiah,0,Acústico y calmado,-1.0697,-0.1568
Electric Youth,The Best Thing,41,Intenso y oscuro,-0.6273,-0.0128
Pets Tseng;WeiBird,今天陽光就是特別耀眼特別和諧 feat. 韋禮安,58,Intenso y oscuro,-0.3613,-0.2828
Mika Nakashima,KISS OF DEATH(Produced by HYDE),60,Intenso y oscuro,0.784,-1.4954
Brings,"Polka, Polka, Polka - Club Mix",0,Bailable y positivo,2.4561,1.0709
The Who,Who Are You,65,Bailable y positivo,0.3806,0.6833
The Learning Station,Abc Phonics Song,49,Bailable y positivo,0.3135,2.567
Limahl,Never Ending Story,0,Bailable y positivo,1.0594,1.3683
Giacomo Puccini;Luciano Pavarotti;Mirella Freni;Elizabeth Harwood;Rolando Panerai;Berliner Philharmoniker;Herbert von Karajan,"La bohème, SC 67 / Act 3: ""Dunque: è proprio finita!...Addio, dolce svegliare""",25,Acústico y calmado,-3.2031,0.1396
BaianaSystem;Claudia Manzo,Capucha,20,Bailable y positivo,1.7546,0.1003
Jauría,Morgue Corazón,35,Bailable y positivo,1.4722,0.4268
George Jones,If My Heart Had Windows,13,Acústico y calmado,-2.0482,1.1844
Aysha Mathis,Unavailable,62,Acústico y calmado,-4.6001,-0.3721
Mayhem,Deathcrush,51,Intenso y oscuro,-0.8585,-2.9805
Taburete,Roto y Elegante,60,Intenso y oscuro,0.3709,-0.225
Maciej Stuhr,"Wie każdy, kim jest Juanita",23,Acústico y calmado,-1.8403,1.1116
Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",67,Bailable y positivo,1.9752,0.8588
Zezé Di Camargo & Luciano,Garoto de Rua,44,Bailable y positivo,0.4304,0.7016
Dimitri Vegas & Like Mike;DVBBS;Roy Woods,Too Much,48,Bailable y positivo,1.0658,-0.0289
Bombay Jayashri,Prethese Antha,42,Intenso y oscuro,-0.5424,0.0131
Reekado Banks,Ozumba Mbadiwe,53,Bailable y positivo,0.9677,1.2081
Yves V;Ilkay Sencan;Emie,Not So Bad (feat. Emie),65,Intenso y oscuro,0.3617,-0.1929
The Crystal Method,Bound Too Long,14,Bailable y positivo,0.8292,0.4025
LIK,Rid You of Your Flesh,23,Intenso y oscuro,-0.3045,-2.6061
Eduardo Falú,Cancion Del Amor En Zapatillas,25,Acústico y calmado,-1.5761,0.797
Madhusree;Naresh Iyer,"Mayilrage (From ""Ah…Aah"")",55,Bailable y positivo,0.6952,1.424
Peggy Lee,Happy Holiday,0,Acústico y calmado,-0.6547,0.6611
I Prevail,Let Me Be Sad,58,Intenso y oscuro,-0.5007,-0.9053
Parsa Hadavi,Methamorphosis For Tapes (Homage A Gholamali Margiri),0,Acústico y calmado,-1.4804,-1.2707
Breaking Benjamin,Torn in Two,53,Intenso y oscuro,0.8691,-1.514
Joan Sebastian,Que Sea,43,Bailable y positivo,1.408,1.6026
All Ok,Good Morning,50,Intenso y oscuro,0.0892,-0.7693
Ian Munsick,Long Haul,0,Intenso y oscuro,-0.5473,0.1651
BTS,Intro : Persona,64,Bailable y positivo,1.6602,-0.9973
Mortician,House By the Cemetery / Outro,18,Intenso y oscuro,-1.295,-1.3475
Ultraje a Rigor,Inútil,37,Bailable y positivo,1.7693,0.7497
Bratz,Bratitude,31,Bailable y positivo,1.7651,0.9307
Ami Warning,Weg,39,Bailable y positivo,0.5305,0.9963
Bruce Bruce,Get A Physical,24,Directo y hablado,0.8486,-0.9558
Psychostick,Quack Kills,24,Bailable y positivo,1.3477,-0.422
Brenda Lee,Rockin' Around The Christmas Tree,0,Bailable y positivo,0.2678,1.5079
Chris Tomlin,Joy To The World (Unspeakable Joy),1,Directo y hablado,0.9264,-2.5008
Almafuerte,En Este Viaje,31,Intenso y oscuro,-0.0228,-0.3264
Enrique Iglesias;Ludacris;DJ Frank E,Tonight (I'm Lovin' You),51,Intenso y oscuro,0.9597,-0.5945
Romántica Milonguera,Besos brujos,17,Acústico y calmado,-0.4857,0.9391
Martin Garrix;Brooks,Quantum,57,Intenso y oscuro,-0.3548,-1.4102
Loving,Stranger To Yourself,53,Acústico y calmado,-2.5187,0.0183
Philip Glass;Víkingur Ólafsson,Glassworks: Opening,0,Acústico y calmado,-4.8493,-0.4568
Zhang Qing Fang;優客李林,出嫁,22,Acústico y calmado,-0.4766,0.427
Sean Paul,She Doesn't Mind - Gregori Klosman Remix,0,Bailable y positivo,1.5743,0.4276
Sly Withers,Clarkson,29,Intenso y oscuro,0.2955,-0.9741
Baby Sleep;Baby Shushing;Dreams of Dreams,Shhhh Baby Shusher Mama Shushing Background Fan (Loopable),40,Acústico y calmado,-3.8427,-1.8565
Mandrill,Can You Get It,7,Bailable y positivo,1.9981,1.2982
Rella;Conor Gardiner,Follow Me,59,Bailable y positivo,0.5823,0.3663
Imperatorz,Fake Ass Bitches,23,Intenso y oscuro,0.7275,-0.6143
Marcel Dettmann;Ryan Elliott,State Of Art - Ryan Elliott Dub,17,Intenso y oscuro,-0.1309,-0.9491
WowKidz,Dhobi Aaya,22,Bailable y positivo,0.2152,2.0361
Taylor Swift,willow,0,Acústico y calmado,-0.8148,0.4912
The Chemical Brothers,The Darkness That You Fear - Edit,36,Intenso y oscuro,0.7376,-0.8816
Mark D. Pencil,The Exercise Game # 1,14,Intenso y oscuro,0.3852,-0.2892
Keyakizaka46,制服と太陽,21,Bailable y positivo,0.645,0.4072
Peggy Lee,Fever,0,Bailable y positivo,-0.2116,1.1169
Hooverphonic,Magenta,21,Intenso y oscuro,-1.063,-1.5104
Vance Joy,Call If You Need Me,0,Bailable y positivo,-0.4757,1.6632
The West Coast Pop Art Experimental Band,I Won't Hurt You,52,Acústico y calmado,-1.81,2.1213
Ed Solo;Deekline,Bad Boy Your Love - Original Mix,17,Bailable y positivo,1.4163,0.0317
Slayer,War Ensemble,56,Intenso y oscuro,0.2431,-1.8143
Phoebe Bridgers,Motion Sickness,77,Bailable y positivo,-0.3794,1.5939
The Smiths,I Know It's Over - 2011 Remaster,67,Intenso y oscuro,-0.4381,-0.3314
Mia Julia;Tom Tigo,Weck mich nicht auf - Tom Tigo RMX,23,Intenso y oscuro,1.4366,-0.9209
Flört,İstanbul,31,Intenso y oscuro,-0.0842,-0.2797
